iter	MultiClass
0	1.074729799
1	1.053401362
2	1.032396165
3	1.015031747
4	0.9964224854
5	0.9834861524
6	0.9660068367
7	0.9538973789
8	0.9353167542
9	0.9238321366
10	0.9086089687
11	0.8957230666
12	0.8827171234
13	0.8711929726
14	0.8576946966
15	0.846128129
16	0.8326479908
17	0.819493644
18	0.8095337839
19	0.7963886136
20	0.7848026771
21	0.7766289298
22	0.766727573
23	0.7574432549
24	0.7491396463
25	0.7400387651
26	0.7294948914
27	0.7215434812
28	0.7126450522
29	0.7050886077
30	0.6959802659
31	0.687054275
32	0.6795919866
33	0.6711911908
34	0.6634271739
35	0.6560936376
36	0.6500589888
37	0.6421507163
38	0.6355009254
39	0.6292168808
40	0.6236413558
41	0.6161747808
42	0.6101902163
43	0.6031733301
44	0.5969929488
45	0.5891122302
46	0.5832379343
47	0.5779249514
48	0.573081238
49	0.5672371677
50	0.5606155107
51	0.5546576987
52	0.549321832
53	0.5445124339
54	0.5380878748
55	0.5322803282
56	0.5245801917
57	0.5202653145
58	0.5163931747
59	0.5123139978
60	0.5068197607
61	0.501823241
62	0.4968485147
63	0.4923320038
64	0.488095178
65	0.4834045372
66	0.4792832152
67	0.4760418927
68	0.4723587409
69	0.4684243182
70	0.4651291344
71	0.459476956
72	0.456527833
73	0.4533486554
74	0.4493912446
75	0.4478199081
76	0.4444420145
77	0.441230496
78	0.4371781516
79	0.4321113416
80	0.426126264
81	0.4219639295
82	0.4193348694
83	0.4155439572
84	0.4116086152
85	0.4080749959
86	0.4044357294
87	0.4013428488
88	0.398430564
89	0.3950084685
90	0.3907573194
91	0.3867688446
92	0.3839284447
93	0.3804008067
94	0.3771286006
95	0.3735462567
96	0.3715924375
97	0.3689725181
98	0.3648473684
99	0.361769308
100	0.3581988581
101	0.3566996892
102	0.3542564962
103	0.3511301309
104	0.3475822031
105	0.3443702012
106	0.3409108956
107	0.3387616847
108	0.3360684868
109	0.3325360196
110	0.3297907062
111	0.3281915692
112	0.3257125237
113	0.3224387304
114	0.3203424448
115	0.3177419085
116	0.3157904859
117	0.3151361622
118	0.3123046282
119	0.3103681557
120	0.3079142745
121	0.3057627259
122	0.3026642397
123	0.2998924836
124	0.2974554371
125	0.2951265044
126	0.2927358547
127	0.2902438292
128	0.2874844861
129	0.2844922282
130	0.281966346
131	0.2803268602
132	0.2780918137
133	0.2759606942
134	0.2737475163
135	0.2727195832
136	0.2708957813
137	0.2683700715
138	0.2654800013
139	0.2634623692
140	0.2616692307
141	0.2594575848
142	0.2574013659
143	0.2551889651
