iter	Passed	Remaining
0	5	5391
1	8	4184
2	11	3857
3	14	3724
4	18	3740
5	21	3620
6	24	3489
7	27	3437
8	31	3439
9	34	3426
10	37	3367
11	40	3312
12	43	3268
13	45	3231
14	48	3188
15	51	3150
16	53	3112
17	56	3086
18	59	3068
19	62	3068
20	66	3094
21	70	3112
22	73	3112
23	76	3104
24	79	3110
25	83	3113
26	86	3123
27	89	3123
28	93	3114
29	96	3117
30	100	3139
31	103	3141
32	106	3131
33	110	3126
34	113	3121
35	116	3132
36	120	3124
37	123	3115
38	125	3103
39	129	3098
40	132	3096
41	135	3082
42	137	3068
43	140	3055
44	143	3043
45	146	3031
46	148	3019
47	151	3006
48	154	2991
49	157	2983
50	159	2977
51	164	2995
52	167	2997
53	170	2991
54	174	2989
55	177	2989
56	180	2991
57	183	2983
58	186	2975
59	189	2973
60	193	2972
61	196	2974
62	199	2968
63	202	2962
64	205	2959
65	209	2970
66	213	2979
67	216	2973
68	220	2968
69	223	2972
70	227	2973
71	230	2976
72	234	2976
73	238	2981
74	241	2980
75	245	2978
76	248	2974
77	251	2977
78	256	2986
79	260	2995
80	264	3002
81	268	3005
82	272	3005
83	275	3005
84	279	3005
85	282	2999
86	285	2991
87	288	2986
88	291	2983
89	294	2976
90	297	2971
91	300	2962
92	303	2957
93	306	2955
94	310	2956
95	313	2951
96	316	2944
97	319	2938
98	322	2934
99	325	2933
100	329	2928
101	331	2922
102	334	2916
103	337	2908
104	340	2901
105	343	2894
106	345	2886
107	348	2878
108	351	2876
109	355	2874
110	358	2871
111	361	2865
112	364	2858
113	367	2853
114	370	2850
115	373	2847
116	376	2840
117	379	2834
118	382	2829
119	385	2826
120	388	2824
121	391	2819
122	394	2812
123	397	2806
124	400	2804
125	404	2804
126	407	2801
127	410	2795
128	413	2789
129	417	2795
130	422	2801
131	426	2803
132	430	2804
133	433	2803
134	436	2799
135	439	2794
136	442	2787
137	445	2784
138	448	2780
139	452	2778
140	455	2774
141	458	2770
142	461	2766
143	464	2762
144	468	2760
145	471	2755
146	473	2749
147	476	2745
148	479	2741
149	483	2737
150	486	2732
151	488	2727
152	491	2723
153	494	2719
154	498	2715
155	501	2714
156	505	2711
157	507	2705
158	510	2701
159	514	2699
160	518	2704
